EmployeeID,EmployeeName,Gender,Department,SubDepartment,EmployeeType,Location,PrimaryShift,DateOfJoining
EMP0066,Arun Subramani,Male,Wafer,Quality,Contract,Kavindapadi,A,2025-09-26
EMP0067,Selvi Subramani,Female,Wafer,Quality,MAPS,Perundurai,C,2024-06-16
EMP0068,Suresh Palanisamy,Male,Wafer,Quality,BIL,Kavindapadi,B,2025-06-04
EMP0069,Meena Rajan,Female,Biscuit,Production,Operator,Kodumudi,C,2024-04-15
EMP0070,Arun Selvam,Male,Biscuit,Quality,BIL,Erode,B,2025-08-17
EMP0071,Prakash Subramani,Male,Biscuit,Packing,BIL,Kodumudi,C,2024-06-28
EMP0072,Kavitha Muthu,Female,Biscuit,Packing,BIL,Gobichettipalayam,B,2022-11-27
EMP0073,Dinesh Palanisamy,Male,Biscuit,Quality,Contract,Erode,B,2022-11-19
EMP0074,Suresh Ravi,Male,Biscuit,Packing,BIL,Nasiyanur,A,2024-08-11
EMP0075,Saravanan Palanisamy,Male,Biscuit,Quality,Contract,Nasiyanur,A,2025-06-12
EMP0076,Suresh Palanisamy,Male,Wafer,Quality,BIL,Gobichettipalayam,B,2024-11-27
EMP0077,Divya Palanisamy,Female,Biscuit,Packing,Contract,Villarasampatti,B,2023-05-01
EMP0078,Anitha Mani,Female,Maintenance,Mechanical,Contract,Bhavani,A,2024-11-29
EMP0079,Divya Muthu,Female,Biscuit,Production,MAPS,Perundurai,A,2025-09-03
EMP0080,Suresh Ravi,Male,Biscuit,Production,BIL,Perundurai,B,2023-04-09
EMP0081,Lakshmi Gounder,Female,Biscuit,Production,Contract,Nasiyanur,B,2024-04-24
EMP0082,Selvi Muthu,Female,Wafer,Production,BIL,Gobichettipalayam,C,2024-09-04
EMP0083,Prakash Kumar,Male,Biscuit,Quality,Contract,Erode,B,2024-07-31
EMP0084,Geetha Selvam,Female,Wafer,Quality,Operator,Erode,B,2024-06-26
EMP0085,Prakash Kumar,Male,Wafer,Production,Contract,Erode,B,2024-12-09
EMP0086,Kavitha Vel,Female,Biscuit,Production,Contract,Villarasampatti,C,2024-01-16
EMP0087,Arun Kumar,Male,Biscuit,Quality,BIL,Gobichettipalayam,C,2024-08-13
EMP0088,Nandhini Ravi,Female,Biscuit,Packing,Contract,Chithode,C,2023-03-20
EMP0089,Murugan Ravi,Male,Maintenance,Electrical,Operator,Kodumudi,B,2025-07-15
EMP0090,Vignesh Mani,Male,Biscuit,Packing,Contract,Nasiyanur,C,2022-12-24
EMP0091,Prakash Rajan,Male,Biscuit,Production,Contract,Modakurichi,A,2023-09-16
EMP0092,Dinesh Palanisamy,Male,Wafer,Production,Contract,Gobichettipalayam,B,2023-11-21
EMP0093,Geetha Vel,Female,Biscuit,Quality,Operator,Gobichettipalayam,C,2025-01-03
EMP0094,Selvi Kumar,Female,Maintenance,Utilities,BIL,Nasiyanur,B,2024-02-24
EMP0095,Lakshmi Subramani,Female,Maintenance,Utilities,BIL,Bhavani,A,2023-11-18
EMP0096,Prakash Palanisamy,Male,Biscuit,Quality,Contract,Modakurichi,C,2024-06-06
EMP0097,Priya Muthu,Female,Wafer,Packing,BIL,Bhavani,A,2025-01-25
EMP0098,Selvi Kumar,Female,Biscuit,Packing,Contract,Perundurai,C,2023-10-04
EMP0099,Nandhini Ravi,Female,Maintenance,Mechanical,MAPS,Perundurai,C,2023-01-04
EMP0100,Suresh Muthu,Male,Maintenance,Utilities,Contract,Gobichettipalayam,B,2025-10-29
EMP0101,Senthil Mani,Male,Wafer,Production,MAPS,Chithode,A,2023-06-04
EMP0102,Vignesh Muthu,Male,Wafer,Packing,Contract,Kavindapadi,C,2025-04-27
EMP0103,Senthil Gounder,Male,Wafer,Packing,Operator,Chithode,C,2023-06-09
EMP0104,Dinesh Rajan,Male,Wafer,Quality,BIL,Kodumudi,A,2024-08-30
EMP0105,Priya Muthu,Female,Biscuit,Production,Contract,Erode,B,2024-02-22
EMP0106,Arun Mani,Male,Wafer,Packing,Contract,Modakurichi,C,2023-07-06
EMP0107,Saravanan Selvam,Male,Maintenance,Electrical,Contract,Kavindapadi,A,2024-12-09
EMP0108,Revathi Vel,Female,Wafer,Packing,Contract,Erode,A,2024-11-20
EMP0109,Prakash Mani,Male,Biscuit,Production,MAPS,Bhavani,B,2023-11-20
EMP0110,Dinesh Palanisamy,Male,Maintenance,Mechanical,MAPS,Kavindapadi,A,2023-05-25
EMP0111,Karthik Palanisamy,Male,Biscuit,Packing,Operator,Villarasampatti,B,2022-12-04
EMP0112,Dinesh Ravi,Male,Maintenance,Utilities,Contract,Erode,B,2025-09-17
EMP0113,Suresh Palanisamy,Male,Biscuit,Production,Contract,Nasiyanur,A,2023-06-06
EMP0114,Meena Subramani,Female,Biscuit,Production,Contract,Nasiyanur,A,2025-12-01
EMP0115,Dinesh Mani,Male,Biscuit,Production,Contract,Chithode,B,2024-08-09
EMP0116,Lakshmi Palanisamy,Female,Maintenance,Electrical,Contract,Erode,C,2024-05-20
EMP0117,Divya Selvam,Female,Biscuit,Production,Contract,Nasiyanur,C,2023-02-25
EMP0118,Rajesh Gounder,Male,Biscuit,Production,Operator,Perundurai,C,2025-04-26
EMP0119,Karthik Rajan,Male,Wafer,Packing,BIL,Kodumudi,A,2023-09-19
EMP0120,Vignesh Palanisamy,Male,Maintenance,Mechanical,Contract,Bhavani,C,2023-03-07
EMP0121,Suresh Subramani,Male,Biscuit,Quality,Operator,Chithode,B,2023-07-27
EMP0122,Vignesh Rajan,Male,Wafer,Packing,Contract,Nasiyanur,B,2024-11-26
EMP0123,Vignesh Kumar,Male,Biscuit,Packing,Contract,Gobichettipalayam,A,2023-03-19
EMP0124,Anitha Rajan,Female,Biscuit,Quality,BIL,Erode,C,2025-06-17
EMP0125,Meena Rajan,Female,Wafer,Production,Contract,Perundurai,C,2024-02-24
EMP0126,Saravanan Palanisamy,Male,Biscuit,Quality,MAPS,Villarasampatti,A,2023-12-05
EMP0127,Rajesh Kumar,Male,Wafer,Production,BIL,Bhavani,A,2025-04-24
EMP0128,Arun Mani,Male,Biscuit,Quality,Contract,Kodumudi,A,2024-02-23
EMP0129,Rajesh Vel,Male,Wafer,Quality,MAPS,Modakurichi,B,2025-06-10
EMP0130,Dinesh Kumar,Male,Biscuit,Quality,Contract,Nasiyanur,C,2025-08-14
EMP0131,Nandhini Gounder,Female,Wafer,Packing,Operator,Erode,A,2023-09-26
EMP0132,Kavitha Selvam,Female,Maintenance,Utilities,Contract,Bhavani,B,2023-02-08
EMP0133,Dinesh Palanisamy,Male,Wafer,Packing,MAPS,Kodumudi,C,2024-06-30
EMP0134,Kavitha Mani,Female,Maintenance,TF,Contract,Erode,B,2023-07-16
EMP0135,Suresh Subramani,Male,Biscuit,Quality,MAPS,Nasiyanur,C,2023-11-30
EMP0136,Prakash Gounder,Male,Wafer,Packing,BIL,Modakurichi,B,2024-06-03
EMP0137,Prakash Gounder,Male,Biscuit,Quality,Contract,Gobichettipalayam,A,2025-10-09
EMP0138,Divya Rajan,Female,Biscuit,Production,MAPS,Kavindapadi,B,2025-01-11
EMP0139,Saravanan Rajan,Male,Wafer,Production,Contract,Perundurai,B,2025-11-22
EMP0140,Lakshmi Vel,Female,Wafer,Packing,Contract,Erode,A,2024-12-22
EMP0141,Divya Mani,Female,Maintenance,Utilities,Operator,Modakurichi,C,2024-01-13
EMP0142,Arun Selvam,Male,Biscuit,Packing,Contract,Kavindapadi,C,2023-12-11
EMP0143,Murugan Rajan,Male,Biscuit,Packing,MAPS,Kodumudi,A,2024-03-29
EMP0144,Rajesh Mani,Male,Biscuit,Packing,MAPS,Bhavani,A,2025-04-04
EMP0145,Lakshmi Rajan,Female,Maintenance,Mechanical,Contract,Kavindapadi,A,2023-12-10
EMP0146,Karthik Rajan,Male,Biscuit,Production,BIL,Kavindapadi,B,2023-02-12
EMP0147,Murugan Palanisamy,Male,Biscuit,Production,Contract,Modakurichi,A,2025-09-06
EMP0148,Geetha Selvam,Female,Wafer,Packing,Contract,Villarasampatti,C,2024-07-12
EMP0149,Prakash Rajan,Male,Maintenance,Utilities,Operator,Erode,B,2024-09-22
EMP0150,Murugan Mani,Male,Biscuit,Production,Contract,Modakurichi,A,2024-11-21
EMP0151,Arun Muthu,Male,Biscuit,Packing,Contract,Modakurichi,B,2025-06-19
EMP0152,Geetha Mani,Female,Biscuit,Production,Operator,Chithode,B,2025-10-05
EMP0153,Arun Ravi,Male,Wafer,Production,MAPS,Erode,C,2025-03-31
EMP0154,Saravanan Ravi,Male,Wafer,Production,Operator,Chithode,C,2025-09-21
EMP0155,Rajesh Rajan,Male,Biscuit,Quality,Contract,Modakurichi,B,2023-11-05
EMP0156,Divya Gounder,Female,Biscuit,Packing,BIL,Nasiyanur,B,2022-11-16
EMP0157,Murugan Rajan,Male,Wafer,Quality,Contract,Nasiyanur,C,2024-12-28
EMP0158,Geetha Muthu,Female,Maintenance,Mechanical,BIL,Chithode,B,2022-11-19
EMP0159,Rajesh Ravi,Male,Biscuit,Quality,BIL,Villarasampatti,B,2023-08-06
EMP0160,Saravanan Muthu,Male,Wafer,Packing,Contract,Nasiyanur,A,2025-07-08
EMP0161,Prakash Vel,Male,Wafer,Quality,Contract,Chithode,B,2023-05-05
EMP0162,Kavitha Ravi,Female,Maintenance,Utilities,BIL,Erode,C,2025-01-14
EMP0163,Suresh Selvam,Male,Wafer,Quality,Contract,Villarasampatti,C,2024-03-03
EMP0164,Anitha Ravi,Female,Wafer,Production,BIL,Chithode,C,2022-10-16
EMP0165,Dinesh Vel,Male,Biscuit,Packing,MAPS,Kodumudi,B,2024-10-04
EMP0166,Lakshmi Gounder,Female,Maintenance,Electrical,Contract,Villarasampatti,B,2023-11-23
EMP0167,Vignesh Selvam,Male,Maintenance,TF,MAPS,Modakurichi,C,2025-11-08
EMP0168,Anitha Rajan,Female,Wafer,Packing,Contract,Erode,B,2023-11-08
EMP0169,Prakash Selvam,Male,Wafer,Packing,Contract,Bhavani,B,2024-12-27
EMP0170,Vignesh Kumar,Male,Biscuit,Packing,MAPS,Bhavani,A,2025-06-24
EMP0171,Nandhini Rajan,Female,Biscuit,Packing,Contract,Erode,C,2025-11-02
EMP0172,Dinesh Selvam,Male,Maintenance,TF,Contract,Erode,B,2023-05-22
EMP0173,Dinesh Mani,Male,Wafer,Packing,MAPS,Erode,A,2025-06-03
EMP0174,Dinesh Selvam,Male,Wafer,Quality,BIL,Modakurichi,A,2022-09-19
EMP0175,Karthik Kumar,Male,Wafer,Production,Contract,Nasiyanur,C,2025-05-08
EMP0176,Dinesh Ravi,Male,Wafer,Packing,MAPS,Bhavani,C,2023-04-16
EMP0177,Prakash Gounder,Male,Wafer,Quality,Contract,Kavindapadi,C,2025-01-23
EMP0178,Kavitha Gounder,Female,Biscuit,Production,Contract,Perundurai,B,2025-10-02
EMP0179,Arun Muthu,Male,Wafer,Production,BIL,Bhavani,A,2024-10-28
EMP0180,Karthik Selvam,Male,Maintenance,TF,Contract,Bhavani,A,2025-08-16
EMP0181,Murugan Ravi,Male,Biscuit,Production,Contract,Bhavani,C,2023-08-19
EMP0182,Dinesh Vel,Male,Biscuit,Production,MAPS,Erode,C,2025-08-24
EMP0183,Karthik Rajan,Male,Wafer,Production,Operator,Erode,B,2022-10-03
EMP0184,Senthil Rajan,Male,Biscuit,Quality,Operator,Kavindapadi,B,2025-04-21
EMP0185,Dinesh Vel,Male,Biscuit,Production,BIL,Villarasampatti,C,2024-09-09
EMP0186,Geetha Palanisamy,Female,Biscuit,Production,BIL,Villarasampatti,B,2025-02-01
EMP0187,Suresh Ravi,Male,Wafer,Packing,Contract,Erode,B,2025-07-01
EMP0188,Murugan Vel,Male,Wafer,Quality,Contract,Perundurai,A,2025-03-29
EMP0189,Anitha Vel,Female,Biscuit,Quality,Contract,Nasiyanur,C,2023-03-24
EMP0190,Saravanan Muthu,Male,Biscuit,Packing,Contract,Gobichettipalayam,A,2025-03-27
EMP0191,Dinesh Selvam,Male,Biscuit,Packing,Contract,Kavindapadi,A,2025-05-05
EMP0192,Prakash Palanisamy,Male,Biscuit,Packing,Contract,Kodumudi,B,2025-04-06
EMP0193,Meena Subramani,Female,Biscuit,Quality,Contract,Kodumudi,A,2024-08-13
EMP0194,Kavitha Rajan,Female,Wafer,Quality,Contract,Modakurichi,B,2025-10-12
EMP0195,Arun Gounder,Male,Maintenance,Utilities,MAPS,Erode,B,2023-05-09
EMP0196,Saravanan Selvam,Male,Biscuit,Quality,Contract,Nasiyanur,C,2024-01-18
EMP0197,Senthil Gounder,Male,Biscuit,Quality,MAPS,Kodumudi,A,2024-01-26
EMP0198,Prakash Mani,Male,Biscuit,Packing,Operator,Modakurichi,C,2024-08-31
EMP0199,Suresh Muthu,Male,Wafer,Packing,BIL,Villarasampatti,B,2024-09-25
EMP0200,Prakash Palanisamy,Male,Biscuit,Production,Contract,Gobichettipalayam,C,2024-09-03
EMP0201,Rajesh Palanisamy,Male,Wafer,Packing,MAPS,Modakurichi,A,2025-05-04
EMP0202,Revathi Vel,Female,Biscuit,Quality,Contract,Modakurichi,C,2024-01-25
EMP0203,Senthil Kumar,Male,Wafer,Quality,Contract,Bhavani,B,2025-06-09
EMP0204,Vignesh Muthu,Male,Biscuit,Production,MAPS,Chithode,C,2023-02-07
EMP0205,Vignesh Palanisamy,Male,Biscuit,Quality,MAPS,Villarasampatti,A,2025-03-26
EMP0206,Revathi Ravi,Female,Maintenance,TF,Contract,Kodumudi,C,2023-02-08
EMP0207,Karthik Rajan,Male,Wafer,Packing,BIL,Modakurichi,B,2023-08-01
EMP0208,Senthil Rajan,Male,Biscuit,Packing,Contract,Bhavani,A,2023-03-28
EMP0209,Rajesh Gounder,Male,Maintenance,Utilities,Contract,Nasiyanur,A,2024-07-13
EMP0210,Senthil Rajan,Male,Wafer,Packing,BIL,Perundurai,B,2024-06-10
EMP0211,Saravanan Selvam,Male,Biscuit,Packing,Contract,Perundurai,A,2024-04-12
EMP0212,Saravanan Muthu,Male,Wafer,Quality,Contract,Gobichettipalayam,C,2023-02-16
EMP0213,Prakash Muthu,Male,Biscuit,Packing,Contract,Modakurichi,A,2024-05-21
EMP0214,Saravanan Palanisamy,Male,Wafer,Production,Operator,Perundurai,A,2022-12-03
EMP0215,Selvi Rajan,Female,Biscuit,Production,Contract,Villarasampatti,C,2025-09-12
EMP0216,Saravanan Ravi,Male,Biscuit,Packing,Contract,Modakurichi,A,2024-12-04
EMP0217,Murugan Selvam,Male,Maintenance,Utilities,MAPS,Gobichettipalayam,A,2024-03-09
EMP0218,Geetha Gounder,Female,Maintenance,TF,Contract,Bhavani,A,2024-03-04
EMP0219,Saravanan Mani,Male,Maintenance,Electrical,Contract,Nasiyanur,C,2023-02-26
EMP0220,Prakash Rajan,Male,Biscuit,Production,Contract,Bhavani,C,2024-06-28
EMP0221,Geetha Vel,Female,Biscuit,Production,Contract,Modakurichi,A,2023-04-19
EMP0222,Suresh Mani,Male,Maintenance,TF,Contract,Perundurai,B,2025-06-06
EMP0223,Karthik Rajan,Male,Wafer,Packing,Contract,Kodumudi,C,2023-05-15
EMP0224,Priya Vel,Female,Wafer,Quality,Operator,Chithode,A,2025-08-18
EMP0225,Dinesh Muthu,Male,Maintenance,TF,MAPS,Villarasampatti,B,2024-07-25
EMP0226,Karthik Rajan,Male,Wafer,Quality,Contract,Erode,C,2023-08-10
EMP0227,Rajesh Subramani,Male,Biscuit,Quality,Contract,Villarasampatti,A,2025-10-27
EMP0228,Murugan Kumar,Male,Maintenance,Electrical,Contract,Nasiyanur,C,2025-09-15
EMP0229,Suresh Selvam,Male,Wafer,Packing,Operator,Nasiyanur,A,2024-05-03
EMP0230,Vignesh Mani,Male,Biscuit,Quality,BIL,Bhavani,C,2024-07-19
EMP0231,Karthik Mani,Male,Wafer,Production,BIL,Gobichettipalayam,B,2022-12-10
EMP0232,Saravanan Vel,Male,Biscuit,Quality,Contract,Bhavani,B,2024-06-12
EMP0233,Murugan Ravi,Male,Biscuit,Packing,BIL,Bhavani,A,2025-03-14
EMP0234,Vignesh Kumar,Male,Biscuit,Quality,Contract,Erode,B,2024-12-26
EMP0235,Karthik Mani,Male,Wafer,Production,Contract,Chithode,C,2023-05-25
EMP0236,Dinesh Selvam,Male,Biscuit,Production,Contract,Villarasampatti,C,2023-08-30
EMP0237,Dinesh Muthu,Male,Wafer,Packing,MAPS,Nasiyanur,C,2024-07-06
EMP0238,Vignesh Rajan,Male,Biscuit,Production,Contract,Nasiyanur,C,2025-02-23
EMP0239,Kavitha Gounder,Female,Biscuit,Packing,Contract,Chithode,A,2023-03-01
EMP0240,Prakash Kumar,Male,Wafer,Quality,Contract,Gobichettipalayam,A,2023-02-21
EMP0241,Lakshmi Vel,Female,Maintenance,TF,MAPS,Nasiyanur,C,2023-06-26
EMP0242,Arun Muthu,Male,Biscuit,Packing,Contract,Villarasampatti,C,2024-02-25
EMP0243,Selvi Rajan,Female,Biscuit,Production,MAPS,Modakurichi,C,2023-10-12
EMP0244,Geetha Rajan,Female,Biscuit,Packing,Contract,Kodumudi,B,2022-11-29
EMP0245,Saravanan Palanisamy,Male,Biscuit,Production,Contract,Perundurai,A,2023-11-26
EMP0246,Saravanan Kumar,Male,Wafer,Quality,Contract,Erode,A,2023-04-27
EMP0247,Saravanan Subramani,Male,Biscuit,Production,MAPS,Erode,C,2022-11-04
EMP0248,Priya Kumar,Female,Biscuit,Packing,Contract,Erode,C,2023-06-08
EMP0249,Revathi Gounder,Female,Wafer,Quality,Contract,Kodumudi,A,2024-10-03
EMP0250,Saravanan Mani,Male,Biscuit,Packing,MAPS,Perundurai,A,2024-08-27
EMP0251,Kavitha Gounder,Female,Biscuit,Production,Contract,Villarasampatti,A,2023-07-19
EMP0252,Vignesh Rajan,Male,Wafer,Quality,Contract,Nasiyanur,A,2022-12-17
EMP0253,Saravanan Ravi,Male,Wafer,Quality,Contract,Erode,A,2025-05-13
EMP0254,Karthik Rajan,Male,Biscuit,Quality,Operator,Bhavani,B,2025-01-25
EMP0255,Karthik Selvam,Male,Biscuit,Production,Contract,Erode,C,2024-08-18
EMP0256,Vignesh Kumar,Male,Biscuit,Production,BIL,Bhavani,A,2025-03-30
EMP0257,Nandhini Mani,Female,Maintenance,Utilities,Contract,Kavindapadi,A,2024-03-08
EMP0258,Prakash Vel,Male,Wafer,Production,MAPS,Modakurichi,A,2023-08-03
EMP0259,Arun Mani,Male,Wafer,Quality,MAPS,Bhavani,C,2023-12-06
EMP0260,Suresh Gounder,Male,Biscuit,Packing,Contract,Kodumudi,C,2024-08-27
EMP0261,Selvi Subramani,Female,Biscuit,Quality,BIL,Villarasampatti,C,2023-05-15
EMP0262,Kavitha Kumar,Female,Maintenance,Mechanical,Operator,Modakurichi,B,2024-10-16
EMP0263,Senthil Muthu,Male,Maintenance,Utilities,Contract,Kavindapadi,A,2025-08-11
EMP0264,Priya Vel,Female,Biscuit,Quality,MAPS,Chithode,A,2023-06-15
EMP0265,Suresh Vel,Male,Wafer,Quality,Contract,Erode,C,2022-12-24
EMP0266,Rajesh Muthu,Male,Biscuit,Production,Contract,Kavindapadi,C,2025-10-27
EMP0267,Dinesh Subramani,Male,Biscuit,Packing,Contract,Kavindapadi,C,2025-03-16
EMP0268,Anitha Palanisamy,Female,Biscuit,Packing,MAPS,Erode,C,2025-03-07
EMP0269,Prakash Subramani,Male,Wafer,Production,BIL,Villarasampatti,B,2025-08-04
EMP0270,Dinesh Gounder,Male,Wafer,Production,MAPS,Bhavani,A,2024-10-19
EMP0271,Karthik Rajan,Male,Maintenance,Utilities,Operator,Chithode,C,2023-04-08
EMP0272,Karthik Rajan,Male,Biscuit,Production,Contract,Modakurichi,A,2025-09-07
EMP0273,Murugan Mani,Male,Wafer,Production,BIL,Kavindapadi,C,2024-12-07
EMP0274,Senthil Muthu,Male,Wafer,Packing,Contract,Nasiyanur,A,2025-05-18
EMP0275,Anitha Selvam,Female,Biscuit,Quality,MAPS,Chithode,A,2022-11-13
EMP0276,Nandhini Mani,Female,Biscuit,Quality,Contract,Erode,B,2023-09-18
EMP0277,Kavitha Selvam,Female,Wafer,Production,BIL,Kodumudi,A,2024-06-29
EMP0278,Senthil Gounder,Male,Biscuit,Quality,BIL,Gobichettipalayam,B,2025-09-07
EMP0279,Arun Muthu,Male,Biscuit,Quality,Contract,Bhavani,A,2023-06-14
EMP0280,Priya Kumar,Female,Wafer,Quality,Contract,Villarasampatti,A,2023-12-08
EMP0281,Selvi Muthu,Female,Wafer,Packing,BIL,Perundurai,B,2024-08-10
EMP0282,Murugan Gounder,Male,Maintenance,Electrical,Contract,Modakurichi,B,2024-06-23
EMP0283,Dinesh Selvam,Male,Biscuit,Packing,Contract,Bhavani,A,2024-03-12
EMP0284,Rajesh Subramani,Male,Wafer,Production,Operator,Erode,B,2023-11-30
EMP0285,Prakash Vel,Male,Biscuit,Production,Contract,Kavindapadi,C,2022-11-23
EMP0286,Revathi Gounder,Female,Maintenance,TF,Contract,Chithode,B,2025-02-12
EMP0287,Senthil Palanisamy,Male,Maintenance,Utilities,Contract,Gobichettipalayam,C,2023-08-10
EMP0288,Geetha Gounder,Female,Biscuit,Packing,MAPS,Chithode,C,2024-07-05
EMP0289,Lakshmi Subramani,Female,Maintenance,Mechanical,Contract,Chithode,C,2023-11-18
EMP0290,Murugan Palanisamy,Male,Wafer,Packing,Contract,Bhavani,C,2024-11-07
EMP0291,Murugan Rajan,Male,Biscuit,Packing,Contract,Erode,C,2025-08-02
EMP0292,Rajesh Subramani,Male,Biscuit,Production,Contract,Gobichettipalayam,C,2025-01-14
